creditLimit,amount,isCardPresent,merchantCategoryCode,transactionType,geoLocation,timeOfDay,isForeignTransaction,paymentDueInDays,lastPaymentAmount,isFlaggedFraud,availableCredit,isFraud
16795,320,True,Utilities,Cash Advance,"New York, US",07:07,0,50,6873,0,16475,0
1860,4495,False,Clothing,Bill Payment,"New York, US",07:16,0,4,2559,0,0,1
6390,1915,False,Restaurants,Purchase,"Berlin, DE",21:12,0,39,6953,0,4475,0
12964,4201,True,Utilities,Bill Payment,"Delhi, IN",17:30,0,36,989,0,8763,0
12284,4792,True,Restaurants,Purchase,"Los Angeles, US",11:32,1,58,2631,0,7492,1
7265,330,True,Fuel,Cash Advance,"Los Angeles, US",03:16,0,4,5344,0,6935,0
17850,660,True,Fuel,Bill Payment,"New York, US",04:11,0,36,2697,0,17190,0
5426,3689,False,Electronics,Cash Advance,"Los Angeles, US",05:45,0,42,3183,0,1737,1
15423,3119,True,Fuel,Purchase,"London, UK",16:39,0,6,739,0,12304,0
12363,4917,True,Utilities,Cash Advance,"Los Angeles, US",21:44,0,1,7912,0,7446,0
17023,1973,False,Fuel,Bill Payment,"New York, US",00:55,0,29,502,0,15050,0
9322,1794,True,Restaurants,Cash Advance,"London, UK",16:08,0,48,5681,0,7528,0
2685,3219,False,Groceries,Bill Payment,"Delhi, IN",10:58,1,10,3819,0,0,1
1769,4558,True,Pharmacy,Cash Advance,"Chicago, US",21:32,0,51,5831,0,0,0
3433,2534,False,Clothing,Cash Advance,"Berlin, DE",09:49,0,36,6852,0,899,0
6311,2458,True,Travel,Bill Payment,"Los Angeles, US",22:59,0,38,7680,0,3853,0
6051,3101,False,Travel,Bill Payment,"London, UK",04:45,0,32,6594,0,2950,1
7420,4367,False,Fuel,Bill Payment,"Chicago, US",10:07,0,8,8474,0,3053,1
18568,2734,True,Fuel,Purchase,"Delhi, IN",07:37,1,10,8380,0,15834,1
7396,4481,False,Clothing,Cash Advance,"Chicago, US",16:50,0,59,4220,0,2915,1
9666,4156,False,Travel,Bill Payment,"Delhi, IN",03:19,0,11,3759,0,5510,1
19942,220,True,Restaurants,Purchase,"New York, US",03:00,0,9,1814,0,19722,0
19431,2819,False,Pharmacy,Purchase,"New York, US",16:39,1,51,939,0,16612,1
3747,1907,False,Travel,Bill Payment,"Berlin, DE",11:49,0,53,5031,0,1840,0
1189,2612,True,Travel,Bill Payment,"Berlin, DE",13:56,0,10,7050,0,0,0
4005,2594,True,Utilities,Bill Payment,"Delhi, IN",18:59,0,32,6794,0,1411,0
2899,96,False,Travel,Purchase,"Chicago, US",04:53,0,56,3939,0,2803,0
2267,989,False,Fuel,Purchase,"Berlin, DE",21:48,0,19,2661,0,1278,0
18912,1113,False,Utilities,Cash Advance,"Los Angeles, US",06:00,0,4,1979,0,17799,0
12394,2279,False,Fuel,Purchase,"Chicago, US",23:10,0,46,3382,0,10115,0
4556,246,False,Clothing,Bill Payment,"Berlin, DE",20:02,0,23,8599,0,4310,0
4890,2159,True,Travel,Cash Advance,"Chicago, US",19:16,0,31,9533,0,2731,0
9838,4330,False,Pharmacy,Cash Advance,"Los Angeles, US",23:47,0,53,8999,0,5508,1
15502,3350,True,Fuel,Cash Advance,"Chicago, US",19:42,0,30,8464,0,12152,0
11627,2726,True,Clothing,Cash Advance,"Chicago, US",11:19,0,41,2914,0,8901,0
9792,4078,True,Travel,Bill Payment,"London, UK",07:06,0,43,1035,0,5714,0
11555,4899,True,Pharmacy,Cash Advance,"Delhi, IN",11:24,0,13,5262,0,6656,0
11253,2667,False,Restaurants,Bill Payment,"New York, US",00:05,0,18,1190,0,8586,0
9433,3200,False,Fuel,Purchase,"Berlin, DE",14:14,0,41,268,0,6233,1
11233,2755,False,Pharmacy,Bill Payment,"Berlin, DE",04:33,0,23,2141,0,8478,0
12016,1418,True,Pharmacy,Cash Advance,"Berlin, DE",17:21,0,53,2153,0,10598,0
3612,655,True,Pharmacy,Purchase,"Delhi, IN",10:58,0,31,5906,0,2957,0
16787,2443,False,Groceries,Purchase,"Chicago, US",13:23,0,11,1736,0,14344,0
18159,111,True,Pharmacy,Purchase,"Los Angeles, US",20:28,1,49,1336,0,18048,0
13206,90,False,Clothing,Cash Advance,"Los Angeles, US",00:32,1,20,4155,0,13116,0
9226,763,True,Fuel,Bill Payment,"New York, US",17:20,0,50,695,0,8463,0
15541,3173,True,Restaurants,Bill Payment,"New York, US",06:07,0,35,1432,0,12368,0
4152,2180,True,Restaurants,Cash Advance,"New York, US",09:08,1,24,1383,0,1972,1
2585,2505,True,Fuel,Cash Advance,"Los Angeles, US",02:22,1,50,3971,0,80,1
4943,1465,True,Pharmacy,Purchase,"Chicago, US",13:37,0,52,5043,0,3478,0
2021,98,True,Electronics,Bill Payment,"New York, US",12:35,0,13,3710,0,1923,0
12653,293,True,Clothing,Cash Advance,"New York, US",22:13,0,7,7268,0,12360,0
11805,1840,False,Travel,Cash Advance,"Los Angeles, US",11:42,0,28,3651,0,9965,0
14417,1735,False,Travel,Bill Payment,"Berlin, DE",07:02,0,24,8939,0,12682,0
8989,2620,True,Restaurants,Purchase,"Chicago, US",13:57,0,22,3179,0,6369,0
10692,4748,True,Pharmacy,Purchase,"New York, US",21:45,0,58,8108,0,5944,0
